Level,none,Vanish,Chewchew,Racheln,Arcana,Morass,Esfera,Moonbridge,Labyrinth,Limen,Cernium,Arcs,Odium,Dowonkyung,Arteria,Karsion
247,,0.263,0.77,1.147,1.189,1.582,1.63,3.02,0,0,0,0,0,0,0,0
248,,0.256,0.748,1.114,1.154,1.536,1.582,2.932,0,0,0,0,0,0,0,0
249,,0.248,0.726,1.081,1.121,1.491,1.536,2.847,0,0,0,0,0,0,0,0
250,,0.165,0.484,0.721,0.747,0.994,1.024,1.898,2.047,0,0,0,0,0,0,0
251,,0.161,0.47,0.7,0.725,0.965,0.994,1.843,1.988,0,0,0,0,0,0,0
252,,0.156,0.456,0.679,0.704,0.937,0.965,1.789,1.93,0,0,0,0,0,0,0
253,,0.151,0.443,0.66,0.684,0.91,0.937,1.737,1.873,0,0,0,0,0,0,0
254,,0.147,0.43,0.64,0.664,0.883,0.91,1.686,1.819,0,0,0,0,0,0,0
255,,0.143,0.418,0.622,0.644,0.857,0.883,1.637,1.766,1.994,0,0,0,0,0,0
256,,0.139,0.405,0.604,0.626,0.833,0.858,1.589,1.714,1.936,0,0,0,0,0,0
257,,0.135,0.394,0.586,0.607,0.808,0.833,1.543,1.665,1.879,0,0,0,0,0,0
258,,0.131,0.382,0.569,0.59,0.785,0.808,1.498,1.616,1.824,0,0,0,0,0,0
259,,0.127,0.371,0.552,0.573,0.762,0.785,1.455,1.569,1.771,0,0,0,0,0,0
260,,0.042,0.124,0.184,0.191,0.254,0.262,0.485,0.523,0.59,0.95,0,0,0,0,0
261,,0.042,0.122,0.182,0.189,0.251,0.259,0.48,0.518,0.585,0.941,0,0,0,0,0
262,,0.041,0.121,0.181,0.187,0.249,0.256,0.475,0.513,0.579,0.931,0,0,0,0,0
263,,0.041,0.12,0.179,0.185,0.246,0.254,0.471,0.508,0.573,0.922,0,0,0,0,0
264,,0.041,0.119,0.177,0.183,0.244,0.251,0.466,0.503,0.567,0.913,0,0,0,0,0
265,,0.031,0.091,0.136,0.141,0.188,0.193,0.358,0.387,0.436,0.702,0.827,0,0,0,0
266,,0.031,0.091,0.135,0.14,0.186,0.191,0.355,0.383,0.432,0.695,0.819,0,0,0,0
267,,0.031,0.09,0.133,0.138,0.184,0.19,0.351,0.379,0.428,0.689,0.811,0,0,0,0
268,,0.03,0.089,0.132,0.137,0.182,0.188,0.348,0.375,0.424,0.682,0.803,0,0,0,0
269,,0.03,0.088,0.131,0.136,0.18,0.186,0.344,0.372,0.419,0.675,0.795,0,0,0,0
270,,0.014,0.04,0.059,0.061,0.081,0.084,0.155,0.167,0.189,0.304,0.358,0.429,0,0,0
271,,0.013,0.039,0.058,0.06,0.08,0.083,0.154,0.166,0.187,0.301,0.354,0.425,0,0,0
272,,0.013,0.039,0.058,0.06,0.08,0.082,0.152,0.164,0.185,0.298,0.351,0.421,0,0,0
273,,0.013,0.038,0.057,0.059,0.079,0.081,0.151,0.162,0.183,0.295,0.347,0.417,0,0,0
274,,0.013,0.038,0.057,0.059,0.078,0.08,0.149,0.161,0.182,0.292,0.344,0.413,0,0,0
275,,0.006,0.019,0.028,0.029,0.039,0.04,0.074,0.08,0.09,0.145,0.17,0.204,0.282,0,0
276,,0.006,0.017,0.025,0.026,0.035,0.036,0.067,0.072,0.082,0.131,0.155,0.186,0.257,0,0
277,,0.005,0.016,0.023,0.024,0.032,0.033,0.061,0.066,0.074,0.12,0.141,0.169,0.233,0,0
278,,0.005,0.014,0.021,0.022,0.029,0.03,0.055,0.06,0.068,0.109,0.128,0.154,0.212,0,0
279,,0.004,0.013,0.019,0.02,0.026,0.027,0.05,0.054,0.061,0.099,0.116,0.14,0.193,0,0
280,,0.002,0.006,0.009,0.01,0.013,0.013,0.025,0.027,0.03,0.049,0.058,0.069,0.095,0.115,0
281,,0.002,0.006,0.009,0.009,0.012,0.012,0.023,0.024,0.028,0.044,0.052,0.063,0.087,0.104,0
282,,0.002,0.005,0.008,0.008,0.011,0.011,0.021,0.022,0.025,0.04,0.048,0.057,0.079,0.095,0
283,,0.002,0.005,0.007,0.007,0.01,0.01,0.019,0.02,0.023,0.037,0.043,0.052,0.072,0.086,0
284,,0.001,0.004,0.006,0.007,0.009,0.009,0.017,0.018,0.021,0.033,0.039,0.047,0.065,0.078,0
285,,0.001,0.002,0.003,0.003,0.004,0.005,0.008,0.009,0.01,0.017,0.019,0.023,0.032,0.039,0.046
286,,0.001,0.002,0.003,0.003,0.004,0.004,0.008,0.008,0.009,0.015,0.018,0.021,0.029,0.035,0.042
287,,0.001,0.002,0.003,0.003,0.004,0.004,0.007,0.008,0.008,0.014,0.016,0.019,0.027,0.032,0.038
288,,0.001,0.002,0.002,0.002,0.003,0.003,0.006,0.007,0.008,0.012,0.015,0.018,0.024,0.029,0.034
289,,0.001,0.001,0.002,0.002,0.003,0.003,0.006,0.006,0.007,0.011,0.013,0.016,0.022,0.026,0.031
